city_ascii;province_id;province_name;lat;lng;population;density
Berthier-sur-Mer;QC;Quebec;46.9167;-70.7333;1398;52.2
Frampton;QC;Quebec;46.4667;-70.8;1393;9.2
Magnetawan;ON;Ontario;45.6667;-79.6333;1390;2.6
New Carlisle;QC;Quebec;48.0167;-65.3333;1388;20.5
Laird No. 404;SK;Saskatchewan;52.5696;-106.7312;1387;1.9
Petitcodiac;NB;New Brunswick;45.9333;-65.1667;1383;80.4
Popkum;BC;British Columbia;49.1911;-121.7553;1382;216.7
Norton;NB;New Brunswick;45.6387;-65.6955;1382;18.3
Canwood No. 494;SK;Saskatchewan;53.4574;-106.7768;1381;0.7
Wentworth-Nord;QC;Quebec;45.85;-74.45;1381;8.8
Bas Caraquet;NB;New Brunswick;47.8;-64.8333;1380;44.5
Sainte-Ursule;QC;Quebec;46.2833;-73.0333;1375;20.2
Dawson;YT;Yukon;64.0464;-139.3893;1375;42.4
Nantes;QC;Quebec;45.6333;-71.0333;1374;11.4
Lac-aux-Sables;QC;Quebec;46.8667;-72.4;1373;5.1
Stewiacke;NS;Nova Scotia;45.1422;-63.3483;1373;77.9
Taylor;BC;British Columbia;56.159;-120.6878;1373;80.3
Rosser;MB;Manitoba;49.99;-97.4592;1372;3.1
Estevan No. 5;SK;Saskatchewan;49.1308;-103.0126;1370;1.8
Falmouth;NS;Nova Scotia;44.9967;-64.1634;1368;262.3
Vaudreuil-sur-le-Lac;QC;Quebec;45.4;-74.0333;1359;989.2
Grahamdale;MB;Manitoba;51.42;-98.3733;1359;0.6
Cardwell;NB;New Brunswick;45.7848;-65.3037;1353;4.3
Two Hills;AB;Alberta;53.715;-111.7461;1352;400
Spiritwood No. 496;SK;Saskatchewan;53.4435;-107.4495;1347;0.6
Legal;AB;Alberta;53.9492;-113.595;1345;423.4
Amulet;QC;Quebec;48.2938;-79.0274;1340;724.3
Herouxville;QC;Quebec;46.6667;-72.6167;1340;25.3
Pointe-des-Cascades;QC;Quebec;45.3333;-73.9667;1340;502.2
